Age,Gender,MaritalStatus,EducationLevel,EmploymentStatus,AnnualIncome,LoanAmountRequested,PurposeOfLoan,CreditScore,ExistingLoansCount,LatePaymentsLastYear,LoanApproved
68,Female,Single,High School,Employed,60354.16,55995.5,Business,453,4,5,0
43,Female,Single,High School,Employed,3071882.01,2245137.65,Other,481,9,8,0
64,Female,Divorced,Bachelor,Employed,901095.42,451105.72,Car,750,9,1,1
64,Male,Married,High School,Self-employed,275368.47,681306.37,Car,640,7,1,0
68,Female,Divorced,High School,Employed,1335577.75,5992087.62,Business,581,1,0,0
42,Male,Widowed,High School,Employed,1492039.83,1481880.54,Car,580,8,1,1
21,Female,Widowed,High School,Employed,256553.89,841299.72,Education,563,5,0,0
36,Male,Single,Other,Employed,286098.29,501670.34,Education,764,5,0,0
50,Male,Divorced,PhD,Retired,51765.3,62332.19,Car,500,7,1,0
53,Male,Married,High School,Employed,4937204.02,22184784.59,Home,586,5,0,1
55,Male,Widowed,High School,Employed,1087067.33,5059148.68,Other,606,2,1,0
29,Female,Married,Bachelor,Employed,84848.4,262354.49,Other,458,3,2,0
50,Female,Married,Master,Employed,273798.44,636831.37,Business,601,1,0,0
54,Female,Widowed,Other,Employed,50628.12,34012.51,Education,560,2,0,0
66,Male,Single,High School,Retired,2514345.33,9442058.58,Business,464,2,2,0
46,Male,Married,Bachelor,Self-employed,95173.22,380389.26,Car,410,4,4,0
22,Female,Divorced,Bachelor,Employed,148031.28,474501.98,Personal,799,9,0,0
31,Female,Widowed,Master,Employed,3149958.96,9947877.71,Education,596,0,0,1
50,Female,Single,Master,Employed,303343.17,820877.46,Education,336,6,2,0
68,Female,Single,High School,Employed,233765.94,182906.22,Car,706,6,0,1
46,Female,Married,Master,Employed,100535.57,163615.43,Personal,406,5,1,0
50,Male,Married,Bachelor,Self-employed,80316.0,219162.97,Business,508,3,0,0
46,Female,Widowed,Bachelor,Employed,600746.54,1491744.77,Business,494,2,2,0
44,Male,Widowed,Bachelor,Unemployed,245675.58,243176.77,Car,749,7,0,1
43,Female,Widowed,PhD,Employed,3922262.75,3339500.31,Education,622,8,0,1
61,Female,Married,Bachelor,Employed,674895.25,2371304.55,Education,777,9,0,1
68,Female,Married,Bachelor,Employed,1485451.5,6949533.86,Business,809,4,2,0
38,Female,Widowed,High School,Employed,286801.49,1074594.5,Other,383,2,3,0
42,Male,Widowed,Bachelor,Student,2666897.26,12327746.29,Other,556,0,0,0
69,Female,Single,High School,Self-employed,344207.96,1577417.26,Car,499,5,9,0
45,Male,Single,Bachelor,Self-employed,133147.06,349424.62,Personal,836,3,0,1
30,Male,Married,High School,Employed,311606.3,682812.19,Other,739,0,0,0
47,Male,Widowed,Bachelor,Employed,2355589.61,7016177.05,Business,431,5,0,1
21,Female,Single,PhD,Employed,115564.98,499558.48,Car,820,9,1,0
50,Male,Divorced,Bachelor,Employed,56200.83,48622.02,Car,663,6,0,1
25,Female,Married,Bachelor,Employed,80758.3,324615.16,Car,368,1,2,0
49,Female,Single,Other,Self-employed,4747091.12,14505530.97,Car,683,6,1,0
19,Male,Married,Bachelor,Self-employed,3312973.88,10473404.46,Other,454,6,3,0
22,Male,Single,Bachelor,Employed,245106.2,953901.65,Business,469,9,5,0
47,Male,Widowed,High School,Employed,471880.9,2115586.44,Business,739,2,0,0
26,Female,Widowed,Other,Employed,605673.31,1940603.49,Car,441,3,9,0
40,Female,Widowed,Other,Unemployed,1162352.13,4801282.62,Car,511,1,0,0
42,Female,Widowed,Bachelor,Self-employed,494196.64,1793435.99,Car,358,8,5,0
62,Female,Divorced,Other,Employed,1069161.6,1025667.32,Personal,802,9,0,1
19,Female,Single,High School,Student,107531.76,399627.23,Car,345,9,4,0
53,Male,Widowed,Bachelor,Self-employed,1371076.9,2133253.63,Other,611,7,2,0
53,Female,Single,Master,Self-employed,600697.14,536943.95,Car,702,8,1,1
42,Female,Divorced,High School,Self-employed,1284757.33,3894872.48,Business,552,1,1,0
47,Female,Single,Other,Unemployed,51224.49,30998.98,Personal,333,0,7,0
34,Male,Married,High School,Unemployed,1038811.47,3627690.85,Home,717,8,1,0
58,Male,Divorced,PhD,Employed,3864458.82,1133026.0,Home,658,4,0,1
24,Male,Divorced,Master,Employed,196638.26,910344.95,Car,804,3,1,1
59,Female,Single,Master,Employed,972889.03,3196738.24,Car,500,1,1,0
56,Male,Divorced,Bachelor,Retired,213575.13,585944.94,Personal,734,1,0,0
62,Female,Widowed,High School,Employed,852503.91,1058384.82,Business,300,6,1,0
61,Male,Divorced,Bachelor,Self-employed,899458.09,3940541.94,Personal,811,6,0,0
18,Male,Married,Bachelor,Unemployed,150149.64,96294.44,Education,445,3,1,0
41,Male,Divorced,Bachelor,Employed,88683.97,424480.22,Education,738,5,2,0
30,Male,Divorced,Master,Employed,4757073.09,17803007.48,Business,335,5,4,0
58,Female,Widowed,PhD,Self-employed,117990.36,462517.96,Car,492,6,0,0
26,Female,Widowed,High School,Employed,3584879.57,17834949.13,Business,395,1,1,0
49,Female,Single,Bachelor,Self-employed,422407.38,1331594.15,Other,711,3,0,1
51,Male,Single,High School,Employed,410992.79,828862.25,Other,450,2,8,0
28,Male,Married,Bachelor,Employed,74635.17,156839.89,Home,504,4,0,0
35,Female,Married,Master,Employed,72621.04,85612.77,Personal,675,0,0,1
68,Female,Married,Master,Employed,2230139.02,4023762.04,Education,672,0,2,1
50,Female,Widowed,Other,Employed,103193.26,91425.15,Home,483,4,9,0
24,Male,Divorced,High School,Employed,2898973.66,13945353.11,Education,526,4,1,0
53,Female,Divorced,High School,Student,647639.72,2465898.22,Personal,442,0,8,0
41,Female,Widowed,Master,Employed,2169346.1,1582318.27,Personal,455,8,1,1
45,Female,Single,Bachelor,Employed,920902.79,4297795.98,Education,300,0,5,0
39,Male,Married,Bachelor,Employed,872571.53,282831.82,Business,689,6,0,1
50,Male,Married,High School,Employed,221916.93,553538.87,Home,693,1,1,0
46,Male,Widowed,Bachelor,Employed,1219928.72,1441676.51,Business,315,2,0,0
61,Female,Single,Bachelor,Self-employed,57753.01,212717.24,Car,710,0,0,0
52,Female,Widowed,High School,Employed,57708.29,190043.05,Car,472,7,8,0
34,Male,Single,Bachelor,Unemployed,76084.99,64894.74,Other,499,6,2,0
41,Female,Single,Master,Unemployed,3472687.47,10840294.47,Other,688,6,0,1
61,Male,Widowed,Bachelor,Self-employed,156332.73,443394.35,Car,424,5,5,0
25,Female,Single,Master,Self-employed,208782.42,486583.86,Personal,306,1,5,0
49,Female,Married,Bachelor,Employed,1030238.37,3924786.21,Home,763,8,0,0
37,Female,Single,Bachelor,Employed,246038.54,959905.39,Car,817,0,0,0
30,Male,Single,Bachelor,Employed,73111.73,302691.26,Home,496,5,6,0
32,Female,Single,High School,Unemployed,125681.25,115710.28,Business,300,5,8,0
23,Male,Widowed,High School,Employed,855419.54,2654731.64,Other,404,3,6,0
23,Male,Divorced,Master,Employed,2155586.94,4993114.5,Education,653,9,0,1
35,Female,Widowed,Other,Employed,66019.8,86539.13,Other,357,6,3,0
49,Female,Widowed,Other,Unemployed,495862.7,1398968.2,Business,645,7,2,0
52,Female,Single,Master,Employed,138067.75,296867.61,Personal,381,4,9,0
21,Male,Widowed,High School,Student,1477986.96,5707759.57,Education,577,2,0,0
53,Male,Divorced,High School,Retired,57247.81,116672.43,Car,633,3,0,0
29,Female,Single,High School,Unemployed,292862.87,697740.73,Other,709,9,2,0
61,Female,Divorced,High School,Employed,278398.75,727125.89,Other,527,8,0,0
56,Female,Single,High School,Employed,261478.96,785864.33,Business,389,8,1,0
52,Male,Single,Bachelor,Employed,1029066.25,1742653.01,Other,725,6,0,1
27,Female,Widowed,High School,Self-employed,1090814.26,888148.81,Business,547,0,0,0
37,Male,Widowed,High School,Employed,286871.35,879873.74,Car,496,0,0,0
64,Male,Single,Master,Self-employed,2725916.61,3022010.93,Car,361,1,8,0
54,Female,Widowed,Other,Employed,3734060.83,1093270.84,Home,367,4,4,0
29,Male,Married,High School,Employed,99004.84,488538.13,Personal,830,1,0,0
46,Female,Divorced,High School,Self-employed,2721489.06,6336239.67,Car,583,5,0,1
25,Male,Divorced,Bachelor,Employed,4353054.42,2438204.58,Education,669,4,1,1
18,Female,Widowed,Bachelor,Unemployed,2372469.2,11218480.83,Car,625,0,2,0
21,Female,Married,Bachelor,Employed,1127189.09,1303941.63,Personal,662,4,0,1
45,Female,Widowed,High School,Employed,104122.57,319060.12,Education,384,8,3,0
21,Female,Single,High School,Self-employed,1081824.41,4390524.98,Car,689,0,0,0
24,Male,Widowed,High School,Employed,51343.72,86795.05,Other,501,4,0,0
49,Female,Widowed,Other,Employed,278916.1,338498.49,Personal,340,9,1,0
63,Female,Married,Other,Employed,501026.41,1381621.4,Home,733,4,0,1
32,Female,Divorced,Master,Employed,307397.73,858294.34,Business,680,4,0,1
33,Female,Single,Bachelor,Student,986096.53,4437779.23,Education,403,4,5,0
21,Female,Divorced,PhD,Student,163125.98,244016.44,Other,439,9,3,0
47,Male,Single,Other,Unemployed,1352917.62,1942597.05,Home,477,6,9,0
66,Male,Married,Bachelor,Employed,681701.8,925176.81,Car,829,6,1,1
62,Female,Single,High School,Employed,923151.02,4395931.05,Personal,570,8,1,0
41,Female,Single,Master,Employed,254573.25,320931.77,Car,729,2,1,1
42,Female,Divorced,Master,Employed,77631.97,245077.21,Other,548,0,2,0
49,Female,Single,Bachelor,Employed,943825.25,1282404.49,Business,647,8,1,1
38,Female,Single,Other,Unemployed,1123705.47,2550039.58,Car,465,7,2,0
49,Female,Divorced,Bachelor,Employed,176722.29,86444.58,Home,317,7,0,0
23,Female,Single,High School,Employed,256426.33,112872.93,Education,585,4,0,1
25,Male,Divorced,Other,Employed,1001670.17,2716021.82,Car,478,5,1,0
40,Male,Divorced,Bachelor,Employed,285708.3,536682.16,Personal,847,3,0,1
30,Female,Married,Master,Student,930872.28,3536109.46,Other,393,8,6,0
33,Male,Widowed,High School,Student,50285.57,79158.55,Business,839,6,0,0
47,Male,Divorced,Bachelor,Student,550663.08,1737655.82,Other,319,5,3,0
51,Female,Married,PhD,Self-employed,66863.34,45231.73,Education,425,8,4,0
18,Female,Divorced,High School,Employed,204182.55,417596.08,Business,545,6,0,0
39,Male,Divorced,Bachelor,Employed,493056.82,2446338.03,Home,768,0,0,1
41,Female,Married,Master,Unemployed,580674.01,2110731.53,Business,327,8,4,0
52,Male,Divorced,Bachelor,Employed,111178.05,389707.99,Business,430,8,5,0
18,Female,Single,Other,Employed,815597.49,3138066.82,Other,396,8,5,0
42,Male,Married,Master,Employed,1075434.03,749183.23,Home,563,3,0,1
45,Female,Single,High School,Employed,210185.27,542297.98,Education,541,5,0,0
60,Male,Single,Master,Employed,867253.21,2849781.33,Business,383,2,1,0
28,Female,Widowed,Other,Employed,1612415.98,5055793.15,Car,463,8,2,0
38,Female,Divorced,Bachelor,Employed,87445.99,138693.55,Car,325,3,3,0
69,Male,Divorced,Bachelor,Student,1024276.83,4358582.5,Other,668,2,0,1
45,Male,Divorced,Other,Unemployed,459451.53,444173.39,Car,432,4,5,0
40,Male,Widowed,High School,Unemployed,94013.33,256000.13,Car,368,1,4,0
35,Female,Married,High School,Self-employed,67329.19,20798.17,Business,504,4,1,1
69,Male,Widowed,High School,Unemployed,153435.53,505321.84,Personal,665,9,3,0
26,Male,Married,Master,Employed,3842662.9,15614771.98,Car,342,1,9,0
45,Male,Single,Other,Employed,940530.66,3132751.71,Home,762,6,0,0
36,Male,Divorced,PhD,Employed,81349.89,402075.8,Business,543,7,0,0
41,Female,Widowed,PhD,Employed,81227.87,22280.58,Business,579,3,0,1
32,Male,Widowed,Bachelor,Self-employed,3833546.93,15107353.34,Personal,495,4,5,0
55,Female,Widowed,Master,Employed,73148.48,191782.32,Personal,764,8,0,1
67,Male,Married,High School,Employed,52459.65,70900.59,Education,443,8,9,0
27,Female,Divorced,Master,Employed,1978783.99,3037093.03,Personal,838,4,1,1
49,Male,Divorced,Bachelor,Employed,1027844.03,747930.4,Home,456,8,7,0
42,Female,Widowed,Master,Unemployed,106252.12,153170.66,Home,730,0,1,0
49,Male,Divorced,High School,Employed,215186.47,948631.57,Personal,442,4,4,0
49,Male,Widowed,High School,Employed,113195.08,313621.89,Business,811,1,0,0
38,Female,Widowed,Bachelor,Employed,1415565.03,5813935.23,Education,417,7,5,0
20,Female,Single,Master,Employed,196818.95,564596.36,Personal,648,4,0,1
59,Male,Single,High School,Employed,653212.75,2663531.08,Home,677,2,0,0
27,Female,Widowed,Bachelor,Self-employed,1526392.09,6249171.44,Other,608,8,0,0
39,Male,Widowed,Bachelor,Self-employed,2483508.13,10470031.96,Home,757,8,1,0
23,Male,Widowed,Bachelor,Unemployed,2833162.78,14114925.36,Home,452,3,9,0
41,Male,Single,High School,Self-employed,135952.81,105408.59,Business,664,6,0,0
62,Male,Single,Bachelor,Self-employed,76727.54,228816.19,Personal,534,9,0,0
21,Male,Married,Master,Unemployed,63764.35,158411.59,Home,579,2,0,0
55,Female,Divorced,High School,Student,131417.74,544482.13,Other,586,6,1,0
69,Female,Married,Bachelor,Employed,66689.04,268536.61,Education,691,0,0,1
44,Female,Widowed,Bachelor,Employed,1177043.59,5834039.52,Home,650,3,0,0
67,Female,Married,Master,Student,107042.99,377993.91,Business,622,5,0,0
59,Female,Divorced,High School,Self-employed,2537616.82,3058215.3,Education,507,3,1,0
22,Male,Widowed,Master,Self-employed,1291243.12,4122598.6,Personal,300,8,5,0
48,Male,Single,High School,Employed,3501193.56,8448716.61,Other,307,9,5,0
45,Female,Divorced,Master,Employed,177995.78,258182.96,Business,702,9,1,0
60,Female,Widowed,High School,Retired,66723.13,303026.0,Education,376,0,6,0
23,Female,Single,Bachelor,Employed,3152366.44,652333.83,Home,635,6,0,1
31,Female,Married,Bachelor,Unemployed,1447477.88,7104736.34,Education,361,7,0,0
36,Female,Widowed,Bachelor,Self-employed,207189.38,982176.35,Car,832,0,0,1
24,Female,Single,Other,Self-employed,1165408.59,3229367.12,Personal,839,9,0,1
56,Male,Widowed,Bachelor,Self-employed,1302087.59,3598107.15,Other,344,0,9,0
51,Female,Widowed,High School,Employed,2648157.56,6235868.44,Car,712,7,0,1
27,Female,Single,Bachelor,Employed,4519533.82,18035423.91,Business,573,4,0,1
39,Female,Widowed,Bachelor,Employed,54307.69,39027.87,Other,662,8,0,1
45,Male,Widowed,Bachelor,Employed,1749826.37,407920.16,Other,335,7,0,1
56,Male,Divorced,Bachelor,Student,1029272.13,4249149.79,Personal,449,9,7,0
41,Male,Widowed,High School,Student,258411.57,984977.36,Other,452,8,7,0
23,Male,Married,Master,Self-employed,1929712.92,3188140.89,Education,741,7,0,1
45,Female,Widowed,Master,Employed,126765.58,127108.06,Education,761,3,3,0
18,Male,Divorced,High School,Employed,342367.05,1685178.75,Personal,637,5,2,0
22,Female,Divorced,Master,Employed,658387.19,1767281.18,Home,665,4,1,1
23,Female,Widowed,High School,Self-employed,1316605.31,2159648.17,Home,529,4,0,0
39,Male,Married,Master,Employed,2267088.68,3950446.09,Personal,365,0,4,1
68,Female,Married,High School,Employed,397806.58,1499432.07,Business,628,4,2,0
50,Female,Single,Bachelor,Unemployed,89433.35,305260.17,Education,398,6,5,0
25,Female,Married,Bachelor,Employed,69873.38,33377.27,Education,457,4,2,1
63,Female,Single,High School,Employed,1649937.41,7470386.05,Car,398,1,2,0
40,Male,Widowed,Bachelor,Employed,108926.15,218922.06,Personal,508,4,0,1
52,Male,Divorced,Bachelor,Employed,334574.06,1348847.43,Other,563,7,2,0
68,Male,Married,Bachelor,Employed,2244130.5,7914252.35,Education,701,6,0,0
36,Female,Married,Bachelor,Employed,2782772.38,1813376.68,Education,687,7,0,1
69,Male,Single,Other,Employed,200216.8,607047.68,Other,463,8,3,0
21,Female,Widowed,High School,Employed,2840854.03,12495731.2,Car,481,7,6,0
65,Female,Widowed,Bachelor,Employed,58655.74,173371.92,Other,817,4,0,1
54,Male,Single,High School,Employed,788727.57,523061.79,Other,300,7,0,0
36,Male,Widowed,High School,Employed,3048011.38,6926795.05,Home,603,2,0,1
24,Male,Married,Bachelor,Employed,91697.37,114392.82,Personal,702,7,0,1
40,Male,Divorced,Bachelor,Employed,325772.05,1455631.65,Education,301,5,9,0
44,Male,Divorced,High School,Self-employed,95283.61,138770.11,Personal,834,0,1,0
66,Male,Married,Bachelor,Employed,539653.83,68524.39,Education,304,3,0,0
43,Male,Married,Bachelor,Employed,421380.0,947615.6,Personal,420,5,8,0
58,Male,Married,High School,Unemployed,2164628.35,5854967.66,Personal,733,6,0,1
28,Male,Single,High School,Student,61471.97,141872.72,Business,811,7,0,0
62,Female,Single,Bachelor,Unemployed,821827.05,1328011.96,Business,643,6,1,1
66,Female,Divorced,High School,Employed,806419.29,2793670.76,Home,362,3,1,0
57,Male,Married,Bachelor,Employed,1589739.99,712104.25,Education,344,6,1,1
46,Male,Married,High School,Unemployed,1138439.4,2132761.43,Business,576,1,0,1
19,Female,Widowed,Other,Employed,574054.4,2389321.7,Education,815,2,0,0
62,Female,Single,Bachelor,Unemployed,314562.9,1434299.79,Home,694,8,1,0
35,Female,Widowed,Bachelor,Unemployed,321192.75,154272.65,Education,518,1,0,1
20,Male,Divorced,Bachelor,Unemployed,2594744.98,11913804.39,Other,487,9,8,0
41,Male,Married,High School,Retired,280592.32,257475.72,Education,536,7,2,0
27,Male,Divorced,PhD,Self-employed,978621.55,3151965.2,Education,487,0,0,1
51,Male,Single,Bachelor,Employed,2412218.97,7099366.52,Business,607,0,0,1
22,Female,Divorced,Other,Employed,143200.16,700179.38,Other,592,9,0,0
59,Male,Married,Master,Employed,308914.68,504986.12,Home,380,9,4,0
54,Male,Divorced,Bachelor,Employed,4081385.92,6687093.36,Personal,788,8,1,1
62,Male,Widowed,Other,Employed,4369727.07,16999726.48,Personal,839,1,0,0
40,Male,Divorced,PhD,Unemployed,380060.47,601040.14,Education,392,0,4,0
61,Female,Divorced,Master,Employed,2292698.91,6349986.21,Business,390,2,1,1
28,Female,Single,High School,Self-employed,129893.68,510963.12,Education,704,5,0,0
38,Male,Married,Other,Student,98841.27,422796.79,Other,660,4,0,0
62,Female,Divorced,Master,Self-employed,412955.12,118150.45,Personal,710,4,1,1
65,Female,Single,Master,Employed,76968.82,292300.19,Education,570,3,0,0
50,Male,Divorced,Master,Retired,667411.06,1509681.29,Education,603,0,2,0
21,Female,Single,High School,Employed,2051864.55,4995815.35,Car,847,0,1,1
25,Male,Single,Bachelor,Employed,66663.05,295249.15,Car,546,6,0,0
60,Male,Single,High School,Employed,2773745.95,7443092.87,Other,617,8,0,1
47,Female,Single,High School,Self-employed,4110229.22,589530.58,Other,818,6,0,1
54,Male,Married,Master,Employed,1513290.37,1210581.46,Personal,684,0,1,1
57,Male,Widowed,Bachelor,Employed,314174.1,1144672.12,Personal,424,2,7,0
62,Female,Divorced,Bachelor,Employed,1243032.71,161388.99,Education,325,0,6,0
51,Male,Married,High School,Employed,1940890.76,6918739.38,Education,327,7,1,0
31,Female,Married,High School,Employed,100839.15,141600.68,Business,312,6,0,0
34,Male,Single,Bachelor,Employed,954821.28,4675766.93,Home,631,8,1,1
27,Male,Single,Bachelor,Self-employed,742505.34,2347386.77,Other,309,3,4,0
41,Male,Married,Bachelor,Employed,190068.54,543618.03,Business,305,1,1,0
58,Female,Divorced,Master,Employed,1571304.93,2602356.41,Personal,300,9,1,0
49,Female,Single,Bachelor,Employed,769026.9,3452208.62,Personal,620,5,0,0
28,Male,Single,PhD,Self-employed,2251123.51,1658305.06,Personal,580,1,1,1
66,Male,Widowed,Bachelor,Student,284182.5,1332240.06,Home,671,6,0,0
27,Male,Married,Bachelor,Self-employed,94885.9,127691.17,Car,781,7,2,0
47,Female,Single,Other,Employed,172546.47,419200.32,Education,618,5,1,0
35,Female,Single,Bachelor,Employed,928577.8,3599933.64,Car,300,4,3,0
48,Male,Married,Master,Employed,1374920.66,2638049.15,Home,748,3,1,1
24,Female,Single,Other,Employed,89211.03,331131.09,Other,836,7,0,0
18,Female,Widowed,Bachelor,Employed,3015782.45,4548725.85,Home,502,5,1,1
30,Male,Divorced,Bachelor,Self-employed,286522.08,502271.26,Business,310,9,2,0
42,Male,Single,Bachelor,Retired,1483784.58,2549423.27,Home,798,8,1,1
45,Female,Divorced,Bachelor,Employed,171188.77,201497.09,Personal,342,9,8,0
51,Male,Married,Bachelor,Employed,115464.48,257946.18,Personal,482,6,9,0
29,Male,Single,High School,Unemployed,50312.66,78941.7,Car,545,7,2,0
39,Male,Married,Other,Employed,100838.31,454511.61,Personal,660,6,1,0
28,Female,Widowed,Bachelor,Employed,4212177.9,1981681.01,Personal,501,6,0,1
43,Male,Married,High School,Unemployed,2473767.52,4067419.24,Car,371,3,0,0
41,Male,Single,High School,Self-employed,1409069.27,3861108.71,Home,303,1,4,0
37,Female,Married,Other,Employed,913720.95,2095710.18,Other,343,9,4,0
39,Male,Married,Other,Employed,1662182.45,4620222.69,Education,399,2,5,0
46,Male,Widowed,Bachelor,Employed,458814.1,2064023.82,Personal,670,1,1,0
42,Female,Married,Bachelor,Unemployed,3449409.96,3321325.82,Personal,367,5,3,0
61,Female,Divorced,Bachelor,Employed,1923801.4,8750803.31,Car,789,1,1,0
53,Male,Widowed,Bachelor,Unemployed,156189.07,505898.64,Home,616,7,2,0
54,Male,Single,Master,Student,52125.1,96402.45,Business,809,4,0,0
25,Female,Divorced,Master,Self-employed,2067858.81,2778630.03,Business,435,9,3,1
26,Female,Widowed,Bachelor,Employed,101527.58,502706.04,Personal,825,8,1,1
52,Male,Widowed,High School,Student,65219.26,148529.7,Home,391,4,1,0
21,Female,Single,High School,Self-employed,2474647.47,11187778.22,Home,752,8,0,0
46,Female,Widowed,Bachelor,Employed,364528.34,1321008.25,Car,609,9,1,0
24,Male,Divorced,High School,Retired,3070143.04,14545222.98,Other,790,3,2,0
65,Female,Divorced,High School,Self-employed,230196.86,987463.51,Other,413,3,9,0
32,Female,Divorced,Other,Retired,2870536.98,6757277.74,Home,322,3,1,0
21,Male,Single,High School,Retired,100498.63,441372.62,Home,596,6,1,0
